STATEMENT_ID	PUBLIC_STATEMENT	EVIDENCE_ASSESSMENT	INTERPRETATION_LIMIT	PRIMARY_OUTPUTS	OUTPUT_RELATIVE_PATHS	OUTPUT_PACKAGE_RELATIVE_PATHS	OUTPUT_PACKAGE_SHA256	OUTPUT_SHA256	SOURCE_DATASET_OR_CHAIN	SOURCE_VERSION	NUMERICAL_ANCHOR	INDEPENDENCE_CLASS	MAIN_MANUSCRIPT_LOCATION	PUBLIC_EVIDENCE_LOCATION
C001	Analyses across multiple inference routes reproduce localized dependency structures, but do not converge on a unique cause, unique correction, or resolution of the Hubble tension.	Integrated synthesis; pending independent scientific review.	The synthesis is not a new independent measurement.	HTV_HTS_MAJOR_BRANCH_LEDGER.tsv; HTV_HTS_ISSUE_AND_DEPENDENCY_REGISTER.tsv	EVIDENCE_FREEZE/artifacts/integrated/HTV_HTS_MAJOR_BRANCH_LEDGER.tsv; EVIDENCE_FREEZE/artifacts/integrated/HTV_HTS_ISSUE_AND_DEPENDENCY_REGISTER.tsv	ANALYSIS_OUTPUTS/integrated/HTV_HTS_MAJOR_BRANCH_LEDGER.tsv; ANALYSIS_OUTPUTS/integrated/HTV_HTS_ISSUE_AND_DEPENDENCY_REGISTER.tsv	HTV_HTS_MAJOR_BRANCH_LEDGER.tsv=ac8269da3a34ace427faa0bc439955b52d539548d6fff3b2cd713936077cc58e; HTV_HTS_ISSUE_AND_DEPENDENCY_REGISTER.tsv=2fccaff9d434e1b2cc5707b1c1aa2d2371ab677976cd98e08c4d652d5035b9eb	HTV_HTS_MAJOR_BRANCH_LEDGER.tsv=ac8269da3a34ace427faa0bc439955b52d539548d6fff3b2cd713936077cc58e; HTV_HTS_ISSUE_AND_DEPENDENCY_REGISTER.tsv=2fccaff9d434e1b2cc5707b1c1aa2d2371ab677976cd98e08c4d652d5035b9eb	HTV–HTS frozen branch artifacts	mixed; see PROVENANCE/SOURCE_AND_VERSION_RECORDS.tsv	not_applicable	MANUSCRIPT_SYNTHESIS_NOT_NEW_MEASUREMENT	Abstract; §4; §7	ANALYSIS_OUTPUTS/integrated/HTV_HTS_MAJOR_BRANCH_LEDGER.tsv; ANALYSIS_OUTPUTS/integrated/HTV_HTS_ISSUE_AND_DEPENDENCY_REGISTER.tsv
C002	The Cepheid–TRGB distance difference in shared hosts accounts for only part of the current difference between local endpoint estimates.	Supported within the stated shared-host scope.	Joint covariance is unavailable and the endpoint definitions differ.	HTV19_SHARED_HOST_SUMMARY.json; HTV19_SHARED_HOST_DISTANCE_COMPARISON.tsv	EVIDENCE_FREEZE/artifacts/local_ladder/HTV19_SHARED_HOST_SUMMARY.json; EVIDENCE_FREEZE/artifacts/local_ladder/HTV19_SHARED_HOST_DISTANCE_COMPARISON.tsv	ANALYSIS_OUTPUTS/local_ladder/HTV19_SHARED_HOST_SUMMARY.json; ANALYSIS_OUTPUTS/local_ladder/HTV19_SHARED_HOST_DISTANCE_COMPARISON.tsv	HTV19_SHARED_HOST_SUMMARY.json=f1746fedd1e6879c6c19670a6954f5b044b7367f924b1bd4d58a184fef66d462; HTV19_SHARED_HOST_DISTANCE_COMPARISON.tsv=8e20502d0be5dac84984eec134ba4a095f11e4d7d6025a9fdd9f59902a9b93ff	HTV19_SHARED_HOST_SUMMARY.json=f1746fedd1e6879c6c19670a6954f5b044b7367f924b1bd4d58a184fef66d462; HTV19_SHARED_HOST_DISTANCE_COMPARISON.tsv=8e20502d0be5dac84984eec134ba4a095f11e4d7d6025a9fdd9f59902a9b93ff	SH0ES shared-host distances; CCHP JWST TRGB host distances	Riess et al. arXiv:2112.04510v3; Hoyt et al. arXiv:2503.11769v1	delta_mu=0.04166 mag; PTE=0.798	WITHIN_SHARED_SOURCE_DIAGONAL_DIAGNOSTIC	§3.1	ANALYSIS_OUTPUTS/local_ladder/HTV19_SHARED_HOST_SUMMARY.json; ANALYSIS_OUTPUTS/local_ladder/HTV19_SHARED_HOST_DISTANCE_COMPARISON.tsv
C003	The tested simple explanations—one zero point, one supernova, survey mixture, a common grey calibration term, or peculiar velocity—were individually insufficient.	Mixed evidence accepted within tested contracts.	Negative findings apply only to the tested models and data contracts.	HTV31_LOCAL_SN_MECHANISM_EVIDENCE_MAP.tsv	EVIDENCE_FREEZE/artifacts/local_ladder/HTV31_LOCAL_SN_MECHANISM_EVIDENCE_MAP.tsv	ANALYSIS_OUTPUTS/local_ladder/HTV31_LOCAL_SN_MECHANISM_EVIDENCE_MAP.tsv	HTV31_LOCAL_SN_MECHANISM_EVIDENCE_MAP.tsv=c368f669b88f1d7f946165b168d56aba7f3ba3a2db6110b6c5e9587f74f07f32	HTV31_LOCAL_SN_MECHANISM_EVIDENCE_MAP.tsv=c368f669b88f1d7f946165b168d56aba7f3ba3a2db6110b6c5e9587f74f07f32	local-ladder and Pantheon+ public products	mixed; Pantheon+ repository commit not fixed	not_applicable	MULTI_STAGE_WITHIN_LOCAL_SOURCE_FAMILY	§3.1	ANALYSIS_OUTPUTS/local_ladder/HTV31_LOCAL_SN_MECHANISM_EVIDENCE_MAP.tsv
C004	The controlled Pantheon+ calibration and SALT2-retraining responses contain a non-additive interaction.	Supported within the published controlled comparison.	The response was not propagated through the full Pantheon+ H0 analysis.	HTV23_SUPERCAL_TO_FRAGILISTIC_TRANSITION.tsv; HTV23_CONTROLLED_W_DECOMPOSITION.tsv	EVIDENCE_FREEZE/artifacts/supernova_processing/HTV23_SUPERCAL_TO_FRAGILISTIC_TRANSITION.tsv; EVIDENCE_FREEZE/artifacts/supernova_processing/HTV23_CONTROLLED_W_DECOMPOSITION.tsv	ANALYSIS_OUTPUTS/supernova_processing/HTV23_SUPERCAL_TO_FRAGILISTIC_TRANSITION.tsv; ANALYSIS_OUTPUTS/supernova_processing/HTV23_CONTROLLED_W_DECOMPOSITION.tsv	HTV23_SUPERCAL_TO_FRAGILISTIC_TRANSITION.tsv=76664943111dd966bb124781cb7b684d7915e34123904dc47c0a9af69a163664; HTV23_CONTROLLED_W_DECOMPOSITION.tsv=3ec390b8a6e92f084d1144b0224eadc9ba213d449012475532f3662662f4c82d	HTV23_SUPERCAL_TO_FRAGILISTIC_TRANSITION.tsv=76664943111dd966bb124781cb7b684d7915e34123904dc47c0a9af69a163664; HTV23_CONTROLLED_W_DECOMPOSITION.tsv=3ec390b8a6e92f084d1144b0224eadc9ba213d449012475532f3662662f4c82d	Pantheon+ published controlled calibration table	Brout et al. arXiv:2112.03864v2	delta_w=+0.057; interaction difference=+0.021	PUBLISHED_CONTROLLED_TABLE_ALGEBRA	§3.1	ANALYSIS_OUTPUTS/supernova_processing/HTV23_SUPERCAL_TO_FRAGILISTIC_TRANSITION.tsv; ANALYSIS_OUTPUTS/supernova_processing/HTV23_CONTROLLED_W_DECOMPOSITION.tsv
C005	In the public vector, the survey-adjusted redshift slope is algebraically carried by the explicit BBC bias-correction term.	Algebraically reproduced; correction validity not adjudicated.	The decomposition holds the final nuisance-parameter architecture fixed.	HTV29_FIXED_EFFECT_SLOPE_DECOMPOSITION.tsv	EVIDENCE_FREEZE/artifacts/supernova_processing/HTV29_FIXED_EFFECT_SLOPE_DECOMPOSITION.tsv	ANALYSIS_OUTPUTS/supernova_processing/HTV29_FIXED_EFFECT_SLOPE_DECOMPOSITION.tsv	HTV29_FIXED_EFFECT_SLOPE_DECOMPOSITION.tsv=5d8246447e9f040533c44d73053ae721485edcf80a0144417eba7debfc0de954	HTV29_FIXED_EFFECT_SLOPE_DECOMPOSITION.tsv=5d8246447e9f040533c44d73053ae721485edcf80a0144417eba7debfc0de954	PantheonPlusSH0ES public Hubble-flow vector	Brout et al. arXiv:2202.04077v2; repository commit not fixed	corrected=-0.129333; proxy=+0.003689; bias=-0.133022	SAME_PUBLIC_VECTOR_ALGEBRA	§3.1	ANALYSIS_OUTPUTS/supernova_processing/HTV29_FIXED_EFFECT_SLOPE_DECOMPOSITION.tsv
C006	A known-truth closure test of the BBC correction was not completed, so its validity remains unresolved.	Unresolved pending specific simulation truth products.	Further subdivision of the same public data vector would not constitute independent validation.	HTV30_BBC_CLOSURE_GATE.tsv; HTV31_LOCAL_SN_BRANCH_STOP_GATE.tsv	EVIDENCE_FREEZE/artifacts/supernova_processing/HTV30_BBC_CLOSURE_GATE.tsv; EVIDENCE_FREEZE/artifacts/supernova_processing/HTV31_LOCAL_SN_BRANCH_STOP_GATE.tsv	ANALYSIS_OUTPUTS/supernova_processing/HTV30_BBC_CLOSURE_GATE.tsv; ANALYSIS_OUTPUTS/supernova_processing/HTV31_LOCAL_SN_BRANCH_STOP_GATE.tsv	HTV30_BBC_CLOSURE_GATE.tsv=88fab3c418df36606f3614051c628717c002cfd6f837e8809e57ba073bde48e5; HTV31_LOCAL_SN_BRANCH_STOP_GATE.tsv=923d482b371823412ab05da6ddd6f0c3a7295b67618914a3eea9b7f112a0cbd0	HTV30_BBC_CLOSURE_GATE.tsv=88fab3c418df36606f3614051c628717c002cfd6f837e8809e57ba073bde48e5; HTV31_LOCAL_SN_BRANCH_STOP_GATE.tsv=923d482b371823412ab05da6ddd6f0c3a7295b67618914a3eea9b7f112a0cbd0	Pantheon+ simulation and BBC product inventory	public architecture located; required matched truth products not fixed	closure_status=BLOCKED	NOT_DONE_SOURCE_BLOCKED	§3.1; §5	ANALYSIS_OUTPUTS/supernova_processing/HTV30_BBC_CLOSURE_GATE.tsv; ANALYSIS_OUTPUTS/supernova_processing/HTV31_LOCAL_SN_BRANCH_STOP_GATE.tsv
C007	Under flat ΛCDM, DESI DR2 BAO-only data primarily constrain H0 r_d and Ω_m rather than H0 alone.	Directly reproduced within the stated calibration-dependent model.	The result assumes the late-time flat-ΛCDM distance relation.	HTV05_MACHINE_READABLE_RESULTS.json	EVIDENCE_FREEZE/artifacts/bao_early_scale/HTV05_MACHINE_READABLE_RESULTS.json	ANALYSIS_OUTPUTS/bao_early_scale/HTV05_MACHINE_READABLE_RESULTS.json	HTV05_MACHINE_READABLE_RESULTS.json=7e41f66c1a9c63f90c39c08c4e9b4dd68af6abb036e624820b7c5c51c111dc97	HTV05_MACHINE_READABLE_RESULTS.json=7e41f66c1a9c63f90c39c08c4e9b4dd68af6abb036e624820b7c5c51c111dc97	DESI DR2 BAO 13-element mean and covariance	DESI arXiv:2503.14738v3; Cobaya bao_data commit not fixed	Omega_m=0.297462±0.008575; H0r_d=10153.98±73.28; PTE=0.506	DIRECT_REPRODUCTION_FROM_OFFICIAL_VECTOR	§3.2	ANALYSIS_OUTPUTS/bao_early_scale/HTV05_MACHINE_READABLE_RESULTS.json; REPRODUCTION/desi_bao_gaussian_fit/
C008	Connecting a selected local H0 value to the same BAO observable implies an approximately 6.8% lower r_d, as a conditional scale budget.	Supported as a conditional budget.	The conversion uses fitting approximations rather than a full CLASS/CAMB likelihood analysis.	HTV05_MACHINE_READABLE_RESULTS.json	EVIDENCE_FREEZE/artifacts/bao_early_scale/HTV05_MACHINE_READABLE_RESULTS.json	ANALYSIS_OUTPUTS/bao_early_scale/HTV05_MACHINE_READABLE_RESULTS.json	HTV05_MACHINE_READABLE_RESULTS.json=7e41f66c1a9c63f90c39c08c4e9b4dd68af6abb036e624820b7c5c51c111dc97	HTV05_MACHINE_READABLE_RESULTS.json=7e41f66c1a9c63f90c39c08c4e9b4dd68af6abb036e624820b7c5c51c111dc97	DESI DR2 BAO fit plus local endpoint and BBN fitting-formula prior	DESI v3; local endpoint version not fully fixed; approximation only	required_r_d=138.17±2.01 Mpc; reduction=6.7839%	CONDITIONAL_DERIVATION_FROM_SAME_BAO_FIT	§3.2	ANALYSIS_OUTPUTS/bao_early_scale/HTV05_MACHINE_READABLE_RESULTS.json
C009	The Planck projected-Gaussian bridge is limited to a rounded, low-dimensional summary.	Supported within the projected-Gaussian contract.	The full official-chain covariance was not recomputed.	HTS18_CONCLUSION_SUMMARY.tsv; HTS18_POSTERIOR_PRODUCT_SUMMARY.tsv	EVIDENCE_FREEZE/artifacts/bao_early_scale/HTS18_CONCLUSION_SUMMARY.tsv; EVIDENCE_FREEZE/artifacts/bao_early_scale/HTS18_POSTERIOR_PRODUCT_SUMMARY.tsv	ANALYSIS_OUTPUTS/bao_early_scale/HTS18_CONCLUSION_SUMMARY.tsv; ANALYSIS_OUTPUTS/bao_early_scale/HTS18_POSTERIOR_PRODUCT_SUMMARY.tsv	HTS18_CONCLUSION_SUMMARY.tsv=8a87faa64b359fb4ae97e262ac8c1c8a049558f560f9dc36bd1ad900d2e45727; HTS18_POSTERIOR_PRODUCT_SUMMARY.tsv=d50da1bba248d8a61e5c383d50445400b7ef228ed680271ecc201aa32b5ba0ad	HTS18_CONCLUSION_SUMMARY.tsv=8a87faa64b359fb4ae97e262ac8c1c8a049558f560f9dc36bd1ad900d2e45727; HTS18_POSTERIOR_PRODUCT_SUMMARY.tsv=d50da1bba248d8a61e5c383d50445400b7ef228ed680271ecc201aa32b5ba0ad	DESI DR2 BAO; projected Planck summaries; frozen BBN prior	Planck arXiv:1807.06209v4; DESI v3; BBN source metadata incomplete	mode_H0=67.5247; posterior_mean=67.5136	PROJECTED_SUMMARIES_NOT_FULL_CHAIN	§3.2	ANALYSIS_OUTPUTS/bao_early_scale/HTS18_CONCLUSION_SUMMARY.tsv; ANALYSIS_OUTPUTS/bao_early_scale/HTS18_POSTERIOR_PRODUCT_SUMMARY.tsv
C010	The released DESI vector is internally consistent, and the highest-response mode in the tested basis is not an internal outlier.	Supported within the tested basis.	Alternative basis vectors are not independent observations.	HTV84_MODE_ADJUDICATION.tsv; HTV98_CLOSEOUT_METRICS.tsv	EVIDENCE_FREEZE/artifacts/desi_response/HTV84_MODE_ADJUDICATION.tsv; EVIDENCE_FREEZE/artifacts/desi_response/HTV98_CLOSEOUT_METRICS.tsv	ANALYSIS_OUTPUTS/desi_response/HTV84_MODE_ADJUDICATION.tsv; ANALYSIS_OUTPUTS/desi_response/HTV98_CLOSEOUT_METRICS.tsv	HTV84_MODE_ADJUDICATION.tsv=a255eb95d1fffde125e3655cfbb5b74c42abbc7cd42ab87dc164a82af6e9da08; HTV98_CLOSEOUT_METRICS.tsv=be76d50be5ba1831ec3a3a7e5108a1cd6eea873a3ce7848470ba9f73f29f58be	HTV84_MODE_ADJUDICATION.tsv=a255eb95d1fffde125e3655cfbb5b74c42abbc7cd42ab87dc164a82af6e9da08; HTV98_CLOSEOUT_METRICS.tsv=be76d50be5ba1831ec3a3a7e5108a1cd6eea873a3ce7848470ba9f73f29f58be	DESI DR2 released BAO vector	DESI v3; Cobaya bao_data commit not fixed	global_PTE=0.506; common_ISO_predictive_p=0.114	SAME_DESI_VECTOR_MULTIPLE_BASES	§3.3	ANALYSIS_OUTPUTS/desi_response/HTV84_MODE_ADJUDICATION.tsv; ANALYSIS_OUTPUTS/desi_response/HTV98_CLOSEOUT_METRICS.tsv
