case_id	title	branch_ids	result_summary	result_row_count	coverage_status	scientific_state
local_ladder	Local ladder and BBC downstream structure	FS-B02	evidence/first_season/local_ladder/RESULT_SUMMARY.tsv	9	PASS_CLAIM_LEVEL_COVERAGE	RECORDED_DOWNSTREAM_ALGEBRAIC_RESULT; TRUTH_LEVEL_CLOSURE_HOLD
bao_bbn	BAO-BBN and early-scale bridge	FS-B03	evidence/first_season/bao_bbn/RESULT_SUMMARY.tsv	3	PASS_CLAIM_LEVEL_COVERAGE	RECORDED_CONSTRAINT_BUDGET_WITHIN_FROZEN_CONTRACT
cmb_desi	CMB-DESI geometry	FS-B04	evidence/first_season/cmb_desi/RESULT_SUMMARY.tsv	2	PASS_CLAIM_LEVEL_COVERAGE	RECORDED_DESCRIPTIVE_GAUSSIAN_GEOMETRY
desi_influence	DESI influence and response atlas	FS-B05;FS-B06	evidence/first_season/desi_influence/RESULT_SUMMARY.tsv	3	PASS_CLAIM_LEVEL_COVERAGE	RECORDED_SAME_VECTOR_RESPONSE_ATLAS; RAW_ROBUSTNESS_EXTERNAL_PRODUCT_HOLD
act_robustness	ACT public-chain robustness	FS-B07	evidence/first_season/act_robustness/RESULT_SUMMARY.tsv	2	PASS_CLAIM_LEVEL_COVERAGE	TESTED_PUBLIC_VARIANTS_COMPLETE_WITH_CORRELATED_SOURCE_SCOPE
release_geometry	Release-geometry attribution and metric boundary	FS-B08;FS-B09	evidence/first_season/release_geometry/RESULT_SUMMARY.tsv	5	PASS_CLAIM_LEVEL_COVERAGE	INVARIANT_CORE_RETAINED; SYMMETRIC_POOLING_EXTERNAL_REENTRY_HOLD
tdcosmo	TDCOSMO output-level traceability	FS-B10;FS-B11	evidence/first_season/tdcosmo/RESULT_SUMMARY.tsv	7	PASS_CLAIM_LEVEL_COVERAGE	COMPLETE_WITH_SCOPE_AT_OUTPUT_LEVEL
local_flow	Local flow and MCP-CF4 interface	FS-B13	evidence/first_season/local_flow/RESULT_SUMMARY.tsv	1	PASS_CLAIM_LEVEL_COVERAGE	INTERFACE_MAPPED; JOINT_LIKELIHOOD_AND_COVARIANCE_HOLD
h0dn	H0DN network and local-flow contract	FS-B15	evidence/first_season/h0dn/RESULT_SUMMARY.tsv	14	PASS_CLAIM_LEVEL_COVERAGE	FROZEN_REPRESENTATION_BASELINE_REPRODUCED; CORRELATED_PV_EXACT_REPRODUCTION_HOLD
cross_route	Cross-route dependency synthesis	FS-B16	evidence/first_season/cross_route/RESULT_SUMMARY.tsv	4	PASS_CLAIM_LEVEL_COVERAGE	DEPENDENCY_MAP_RETAINED; NAIVE_COMBINATION_PROHIBITED
