package_id	master_path	source_path	role	bytes	sha256	byte_preserved
REF-001	canonical_reference_packages/HTV_HTS_INTEGRATED_STATUS_AUDIT_PACKAGE.zip	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/02_HTS_フェーズ別/HTS_10_全系列統合監査・次段階選定_HTV-HTS68/HTV_HTS_INTEGRATED_STATUS_AUDIT_PACKAGE.zip	Integrated first-season branch/status/dependency audit	21954	cce2802c97119ca419c28c11e700aa6187749145831ab7c16305c4e5117e0bf2	True
REF-002	canonical_reference_packages/HTV_HTS_INTEGRATED_STATUS_AUDIT_PACKAGE.zip.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/02_HTS_フェーズ別/HTS_10_全系列統合監査・次段階選定_HTV-HTS68/HTV_HTS_INTEGRATED_STATUS_AUDIT_PACKAGE.zip.sha256	Sidecar	113	fdf41a8fc8279a1179962931121df3cf65e113d693404a623760cf4ce71a6eb7	True
REF-003	canonical_reference_packages/TDCOSMO_ALTERNATE_IMPLEMENTATION_BRANCH_CLOSEOUT_PACKAGE.zip	02_TDCOSMO_BLIND_SENTINEL_PROJECT/TDCOSMO_ALTERNATE_IMPLEMENTATION_BRANCH_CLOSEOUT_PACKAGE.zip	TDCOSMO alternate-implementation closeout	88598	db14c464cf0afa95b93ee3162cd7634dcb8d21e87ab25c6584249072727561d2	True
REF-004	canonical_reference_packages/TDCOSMO_ALTERNATE_IMPLEMENTATION_BRANCH_CLOSEOUT_PACKAGE.zip.sha256	02_TDCOSMO_BLIND_SENTINEL_PROJECT/TDCOSMO_ALTERNATE_IMPLEMENTATION_BRANCH_CLOSEOUT_PACKAGE.zip.sha256	Sidecar	127	3f6216c9b2993c15eb75269693ec8bbfbf285137f4f26b713083e37decd2dd74	True
REF-005	canonical_reference_packages/cross_season_bridge_evidence/HTV29_RESULTS_FOR_REVIEW.zip	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_03_局所距離梯子・SN較正・BBC_HTV19-31/HTV29_RESULTS_FOR_REVIEW.zip	BBC corrected-vector slope decomposition anchor	32147	60b11e50a36792e83661fea9c84f7af7ec72467a8507f36a1a5934c9c437d857	True
REF-006	canonical_reference_packages/cross_season_bridge_evidence/HTV29_RESULTS_FOR_REVIEW.zip.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_03_局所距離梯子・SN較正・BBC_HTV19-31/HTV29_RESULTS_FOR_REVIEW.zip.sha256	Sidecar	95	c40cdffaf34a78d605e6295451ab906721e301953eb19bf9d2b22b2ff2977b2c	True
REF-007	canonical_reference_packages/cross_season_bridge_evidence/HTV114_CORR1_RESULTS_FOR_REVIEW.zip	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_10_SN共分散・赤方偏移契約_HTV114-123/HTV114_CORR1_RESULTS_FOR_REVIEW.zip	H0DN frozen-representation numerical/covariance anchor	68943	ab3f0b632a65318855497847742a96685cec94f783ffc4ac31f52574890a0eb1	True
REF-008	canonical_reference_packages/cross_season_bridge_evidence/HTV114_CORR1_RESULTS_FOR_REVIEW.zip.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_10_SN共分散・赤方偏移契約_HTV114-123/HTV114_CORR1_RESULTS_FOR_REVIEW.zip.sha256	Sidecar	102	2fc39e7c58ae17c16a67a40bb51254d1a9b72b603d2af2463b2c0b96785d477a	True
REF-009	canonical_reference_packages/cross_season_bridge_evidence/HTV114_CORR1_REVIEW_REPORT.md	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_10_SN共分散・赤方偏移契約_HTV114-123/HTV114_CORR1_REVIEW_REPORT.md	Human-readable H0DN review anchor	5466	a249a95ea63b366994051aea274a763c227883cd67e24c1eda830c71cec1e18f	True
REF-010	canonical_reference_packages/cross_season_bridge_evidence/HTV114_CORR1_REVIEW_REPORT.md.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_10_SN共分散・赤方偏移契約_HTV114-123/HTV114_CORR1_REVIEW_REPORT.md.sha256	Sidecar	96	285be206d0fd5477f29d64cbda3043a80b8825f9f6668103b68284de0b43f487	True
REF-011	canonical_reference_packages/cross_season_bridge_evidence/HTV136_RESULTS_FOR_REVIEW_CORR1.zip	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_12_全体再選定・HTS移行_HTV136/HTV136_RESULTS_FOR_REVIEW_CORR1.zip	End-of-HTV actionable registry and re-entry anchor	73674	7770b8dd787705823a5f516af0275fa26db300f4249ce797829ae1c2cc9bb2cf	True
REF-012	canonical_reference_packages/cross_season_bridge_evidence/HTV136_RESULTS_FOR_REVIEW_CORR1.zip.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_12_全体再選定・HTS移行_HTV136/HTV136_RESULTS_FOR_REVIEW_CORR1.zip.sha256	Sidecar	102	33ea865470ac72205dc1f4965a4e028b5d17ebc2e93aed7d6b7d7af57d048e9f	True
REF-013	canonical_reference_packages/cross_season_bridge_evidence/HTV136_REVIEW_REPORT.md	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_12_全体再選定・HTS移行_HTV136/HTV136_REVIEW_REPORT.md	Human-readable end-of-HTV review	9652	bd3922b35954ab8dc09d71684760c341885f9c633081e613565b60d95c92ee02	True
REF-014	canonical_reference_packages/cross_season_bridge_evidence/HTV136_REVIEW_REPORT.md.sha256	01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_12_全体再選定・HTS移行_HTV136/HTV136_REVIEW_REPORT.md.sha256	Sidecar	90	404777b69b4fefc35f07559dd733f9d4cab8b63739f0149748fb0e3d23c0c0a4	True
