priority_id	priority_band	question	current_state	why_valuable	required_new_evidence	insufficient_substitute	automatic_reentry
UR-001	A	H0DN representation invariance and degenerate-Gaussian support external validation	INTERNAL_RESULT_COMPLETE_EXTERNAL_VALIDATION_OPEN	Directly tests inferential equivalence and support rather than a small diagnostic shift	Independent researcher or language implementation; unrounded y; covariance-generation or latent-variable model; numerical-statistics expert review	More cutoff sweeps; more row permutations; treating exploratory tau as corrected H0	NO
UR-002	A	Pantheon+ BBC truth-level closure	HOLD_SOURCE_INCOMPLETE	Only valid route from downstream slope localization to correction validity	Official versioned BiasCor truth bytes; matched fit; pre/post vector; same-order covariance; run manifest; checksums	Using the final real-data vector; assuming the ten public simulations equal BiasCor training; private unpreserved files	NO
UR-003	A	SN same-CID executed-run-to-final-row lineage	PUBLIC_EVIDENCE_FRONTIER	Required to connect localized residual structure to measurement, fit, aggregation, or dependence generation	Exact base NML; run manifest; FITRES; bias-correction outputs; row-level lineage; KCOR execution identity; dependence construction	Survey ranking; row deletion; covariance shrinkage; more payload matching on the same public release	NO
UR-004	B	DESI MIDZ common-mode raw robustness	FROZEN_OPEN_EXTERNAL_PRODUCT	Potentially tests whether the high-leverage response survives pipeline and release variations	Aligned reconstruction/fiducial/weight/mock vectors and joint or cross-fit covariance	More basis decompositions of the same released vector	NO
UR-005	B	MCP/CF4 joint-flow closure	HOLD_LIKELIHOOD_AND_COVARIANCE_PRODUCTS_MISSING	Provides a comparatively independent route if joint dependence is explicit	Distance samples; constrained-realization covariance; zero-point cross-covariance; compatible likelihood	Ad hoc flow model or naive probe averaging	NO
UR-006	B	H0DN correlated-PV exact reproduction	FROZEN_OPEN_SOURCE_PRODUCTS	Addresses an unresolved local-flow component under a declared contract	Source repository; exact matrix; removal vector; author reproduction package	Invented covariance or diagnostic ablation	NO
UR-007	C	GWTC published 25.7 percent metric provenance	HOLD_NOT_UNIQUE	Closes a precise historical metric-provenance question	Exact old-side gw_dark_O4a posterior bytes; official registry; checksums; comparator mapping	Substituting the GWTC-4 headline posterior; calling 28.547849 percent the published metric	NO
UR-008	C	TDCOSMO originating likelihood and sampler reproduction	OUTPUT_TRACEABILITY_COMPLETE_GENERATION_OPEN	Would upgrade evidence beyond fixed posterior-output recovery	Original likelihood; sampling configuration; convergence diagnostics; portable environment; genuinely external implementation	Running the same quantile code on all 28 files or adding plots	NO
UR-009	C	HTS67 externally justified metric	CANONICAL_HOLD_EXTERNAL_REENTRY_ONLY	Could resolve convention sensitivity only if the metric is independently motivated	Externally justified common metric; joint likelihood; component-separated posterior	Arbitrary metric grids or post-result threshold changes	NO
UR-010	C	Lensed-supernova continuation	HOLD_NEW_OBSERVATION_OR_MODEL	Potential new independent lens information	New observation or materially updated photometry and lens model	Reprocessing unchanged broad current products	NO
