crosswalk_id	first_claim_id	first_original_status	second_claim_ids	relation	current_bounded_reading	scientific_value_changed	true_contradiction
CS-X001	FS-C001	ESTABLISHED_WITH_SCOPE	B01-C01;B02-C01;B03A-C01;B03A-C02;B03B-C01;B03B-C02;B03B-C03	CONFIRMED_AND_SHARPENED	The broad dependency and traceability map remains useful and generated productive re-entry questions; it is not a complete pipeline or generative validation map.	NO	NO
CS-X002	FS-C002	ESTABLISHED_WITH_SCOPE	B01-C01;B03A-C01;SN03B-C001	CONFIRMED_AND_MATERIALLY_QUALIFIED	Multiple bounded outputs are reproducible, but output recovery must be separated from representation invariance, residual diagnostics, executed lineage, and generative validity.	NO	NO
CS-X003	FS-C003	ESTABLISHED_WITH_SCOPE	B02-C01;SN03B-C002;SN03B-C006;SN03B-C008	RETAINED_BOUNDARY_REINFORCED	No tested single zero point, SN, gray mode, survey mix, same-CID byte reuse, or public covariance component is established as a sufficient cause; the cause remains open.	NO	NO
CS-X004	FS-C004	ESTABLISHED_WITH_SCOPE	B02-C01;SN03B-C001;SN03B-C008	RETAINED_LATER_QUALIFIED	HTV29 downstream algebraic BBC-term localization remains valid; truth-level correction validity and executed lineage remain unestablished.	NO	NO
CS-X005	FS-C005	ESTABLISHED_WITH_SCOPE	NONE	NOT_RETESTED	The approximately 6.8 percent r_d budget remains a first-season contract-dependent constraint and was not tested by the second season.	NO	NO
CS-X006	FS-C006	ESTABLISHED_WITH_SCOPE	NONE	NOT_RETESTED	The DESI MIDZ common isotropic response result remains within its first-season same-vector scope and received no second-season confirmation.	NO	NO
CS-X007	FS-C007	ESTABLISHED_WITH_SCOPE	NONE	NOT_RETESTED	The descriptive Omega_m-h*r_d direction remains within Gaussian scope; causal origin was not retested.	NO	NO
CS-X008	FS-C008	ESTABLISHED_WITH_SCOPE	NONE	NOT_RETESTED	The tested ACT DR6 variant center-stability result remains within correlated-source scope and was not retested.	NO	NO
CS-X009	FS-C009	ESTABLISHED_WITH_SCOPE	B01-C01;B03A-C02;SN03B-C001	METHOD_GENERALIZED	The prohibition on counting repeated representations as independent evidence is strengthened across posterior summaries, row representations, and compression diagnostics.	NO	NO
CS-X010	FS-C010	ESTABLISHED_WITH_SCOPE	B03A-C01;B03A-C02;SN03B-C001	DIRECTLY_CONFIRMED_AND_MATERIALLY_QUALIFIED	The H0DN baseline and frozen-representation contract are directly reconfirmed; general non-orthogonal representation invariance fails for the tested exact scaling.	NO	NO
CS-X011	FS-C011	ESTABLISHED_WITH_SCOPE	B03A-C02;SN03B-C003;SN03B-C004	STRUCTURALLY_CONFIRMED_MODEL_VALIDITY_QUALIFIED	Implemented shared covariance prevents naive independent treatment of repeated information, but the literal singular-Gaussian support and physical correctness of the covariance model are not certified.	NO	NO
CS-X012	FS-C012	ESTABLISHED_WITH_SCOPE	B01-C01	RETAINED_WITH_ANALOGOUS_CONFIRMATION	TDCOSMO project-internal alternate-output traceability remains valid; GWTC provides an analogous output-level case, not likelihood or external replication.	NO	NO
CS-X013	FS-C013	NOT_ESTABLISHED	N-03	RETAINED_NONCLAIM	No unique cause of the Hubble tension is established.	NO	NO
CS-X014	FS-C014	NOT_ESTABLISHED	N-01;SN03B-NC007	RETAINED_NONCLAIM	No corrected or preferred H0 follows from either season or their combination.	NO	NO
CS-X015	FS-C015	NOT_ESTABLISHED	N-04;SN03B-NC008	RETAINED_NONCLAIM	No new-physics claim is established.	NO	NO
CS-X016	FS-C016	NOT_ESTABLISHED	B02-C01	CONFIRMED_HOLD_WITH_SHARPER_GATE	BBC truth-level closure remains unestablished; the missing public bundle and exact re-entry assets are now explicitly itemized.	NO	NO
CS-X017	FS-C017	NOT_ESTABLISHED	NONE	NOT_RETESTED	Exact H0DN correlated-PV reproduction remains open and requires the source matrix, removal vector, or author package.	NO	NO
CS-X018	FS-C018	NOT_ESTABLISHED	SN03B-NC004;SN03B-NC006;B01-C02	RETAINED_AND_GENERALIZED	Nominally separate files, rows, branches, and posterior summaries cannot be assumed statistically independent from naming or artifact separation alone.	NO	NO
CS-X019	FS-C019	PROHIBITED_INTERPRETATION	B03A-C02;SN03B-NC001;SN03B-NC007	RETAINED_PROHIBITION	Covariance ablations, alternative representations, or low-residual diagnostics are not alternative scientific H0 estimates.	NO	NO
CS-X020	FS-C020	PROHIBITED_INTERPRETATION	B01-C01;SN03B-C001;SN03B-C005;SN03B-C006	RETAINED_AND_GENERALIZED	Coordinate, mode, Phase, candidate-file, or summary multiplicity must not be counted as independent observations.	NO	NO
