claim_id	manuscript_section	claim_summary	season	branch_or_phase	evidence_path	source_record	source_version	artifact_sha256	evidence_level	limitation	nonclaim
P-FS-001	Abstract; 1; 4	The broad-survey stage provides a dependency and public-product traceability map.	FIRST	FS-C001 / all First-Season clusters	evidence/first_season/FIRST_SEASON_CLAIM_AND_NONCLAIM_LEDGER.tsv	FIRST_MASTER::04_CLAIM_AND_NONCLAIM_LEDGER.tsv::FS-C001	1.0.0	0a5baa497d5316e1267ec61f475cd8e296c6b746ae5c533ada17ada663d41e29	MASTER_LEDGER_BYTE_EXACT	Does not identify a single cause or validate every pipeline.	NO
P-FS-002	4 Table 1	Local-ladder downstream slope structure was localized to the explicit BBC term within the frozen released vector.	FIRST	FS-B02 / HTV29	evidence/first_season/local_ladder/RESULT_SUMMARY.tsv	FIRST_MASTER::HTV29 / FS-C004	1.0.0	42da92b60a98bd3cb9bbecdda4fafa304e5672fc31fb809b1435c761522113a0	RECORDED_MACHINE_RESULT_PLUS_MASTER_LEDGER	Truth-level correction validity and BBC overcorrection are not established.	NO
P-FS-003	4 Table 1	The BAO-BBN bridge retains an approximately -6.8 percent sound-horizon budget under the version-locked analysis specification.	FIRST	FS-B03	evidence/first_season/bao_bbn/RESULT_SUMMARY.tsv	FIRST_MASTER::FS-C005 / FS-N010	1.0.0	04da10816303310612e5cffeaa34af71f6a1c018d63f4dd8417acff3d317fdcb	MASTER_RECORDED_RESULT	Contract-dependent budget; not evidence for a specific early model.	NO
P-FS-004	4 Table 1	Planck, SPT, and ACT shifts from DESI share a descriptive Omega_m-h*r_d direction in Gaussian scope.	FIRST	FS-B04	evidence/first_season/cmb_desi/RESULT_SUMMARY.tsv	FIRST_MASTER::FS-C007	1.0.0	f9841b6e18cb0eb2025156007a90650e04623a1c2bd2f35f55c727ef3327a32b	MASTER_RECORDED_RESULT	No common physical cause or joint-covariance analysis is established.	NO
P-FS-005	4 Table 1	An intermediate-redshift common-isotropic DESI BAO response direction is high leverage in the released vector, with a contrasting response direction in the first luminous-red-galaxy bin.	FIRST	FS-B05 / FS-B06	evidence/first_season/desi_influence/RESULT_SUMMARY.tsv	FIRST_MASTER::FS-C006	1.0.0	d06e9744cb3eed45856dae91023c312bb209431212bca99904324cf6b60e3795	MASTER_RECORDED_RESULT	Same released-vector mapping; historical internal labels are retained only as provenance and are not treated as standard physical nomenclature.	NO
P-FS-006	4 Table 1	Tested ACT DR6 official variants were center-stable within a correlated-source scope.	FIRST	FS-B07	evidence/first_season/act_robustness/RESULT_SUMMARY.tsv	FIRST_MASTER::FS-C008	1.0.0	5302e2217e09b16f00574fa605db7c191962f3d14e976d7907755073caa20801	MASTER_RECORDED_RESULT	Variants are not independent votes or a complete component-likelihood audit.	NO
P-FS-007	4; 6	Further decomposition of unchanged release endpoints does not constitute new independent evidence.	FIRST	FS-B08 / FS-B09	evidence/first_season/release_geometry/RESULT_SUMMARY.tsv	FIRST_MASTER::FS-C009	1.0.0	4f084646fd41b0032ca22a0fa762753618830dd14f47c97616485d1c446f3f01	MASTER_RECORDED_METHOD_BOUNDARY	New data or an external validation metric could justify renewed analysis.	NO
P-FS-008	4 Table 1; 5.6	TDCOSMO output traceability passed 13/13 structures, 39/39 quantiles, and 12/12 published-precision rows.	FIRST	FS-B10 / FS-B11	evidence/tdcosmo/FINAL_RESULT_SUMMARY.tsv	FIRST_MASTER::TDCOSMO closeout	closed in First Master 1.0.0	476444aecc584b795d1ef4336b52db344b575e70eaff2b1da6ee109072c478a1	BYTE_EXACT_CANONICAL_RESULT	Output-level only; not likelihood, sampler, or generative reproduction.	NO
P-FS-009	4 Table 1	The Megamaser Cosmology Project (MCP)–Cosmicflows-4 (CF4) local-flow interface is mapped, but a joint-flow inference remains unresolved.	FIRST	FS-B13	evidence/first_season/local_flow/RESULT_SUMMARY.tsv	FIRST_MASTER::FS-B13	1.0.0	61b4cac8d14ed1fd09b4f036cc5a618a4ca6baaa95179c6c2f72d5bab1663239	MASTER_RECORDED_HOLD	Joint samples, covariance, zero-point covariance, and likelihood are missing.	NO
P-FS-010	4 Table 1	The H0DN baseline and fixed-representation numerical specification were reproduced during the broad-survey stage.	FIRST	FS-B15 / HTV114_CORR1	evidence/first_season/h0dn/RESULT_SUMMARY.tsv	FIRST_MASTER::FS-C010 / HTV114_CORR1	1.0.0	2b8aa49ff4d08fda4069ffdd1c6b307289d46053ab91b3c664046174fa9399e5	MASTER_LEDGER_PLUS_BYTE_EXACT_MACHINE_RESULT	General representation invariance was not established in that broad-survey analysis.	NO
