evidence_id	season	master_member	nested_member	evidence_role	used_for
EV-F001	FIRST	01_FIRST_SEASON_SCIENTIFIC_SUMMARY_JA.md		Season scientific summary	First-season map and bounded conclusions
EV-F002	FIRST	03_BRANCH_STATUS_LEDGER.tsv		Formal branch states	All first-season branch status relations
EV-F003	FIRST	04_CLAIM_AND_NONCLAIM_LEDGER.tsv		Formal claim ledger	FS-C001 through FS-C020
EV-F004	FIRST	05_KEY_NUMERICAL_RESULTS.tsv		Season key numbers	H0DN; BAO; TDCOSMO values
EV-F005	FIRST	08_CROSS_SEASON_COMPARISON_INTERFACE_JA.md		Non-retroactive anchors	FS-X01 through FS-X07
EV-F006	FIRST	10_ARCHIVE_INTEGRITY_AND_LIMITATIONS_JA.md		Archive integrity boundary	365 ZIP CRC and one visible sidecar mismatch
EV-F007	FIRST	canonical_reference_packages/HTV_HTS_INTEGRATED_STATUS_AUDIT_PACKAGE.zip	HTV_HTS_INTEGRATED_STATUS_AUDIT_PACKAGE/HTV_HTS_INTEGRATED_STATUS_AUDIT.md	Dated integrated audit	Dependency map; status chronology; repeated-source warnings
EV-F008	FIRST	canonical_reference_packages/HTV_HTS_INTEGRATED_STATUS_AUDIT_PACKAGE.zip	HTV_HTS_INTEGRATED_STATUS_AUDIT_PACKAGE/HTV_HTS_ISSUE_AND_DEPENDENCY_REGISTER.tsv	Issue and dependency register	Temporal supersession and source overlap
EV-F009	FIRST	canonical_reference_packages/cross_season_bridge_evidence/HTV29_RESULTS_FOR_REVIEW.zip	HTV29_RESULTS_FOR_REVIEW/01_HTV29_EXECUTION_REPORT.md	BBC algebraic localization	FS-C004 and BBC qualification
EV-F010	FIRST	canonical_reference_packages/cross_season_bridge_evidence/HTV29_RESULTS_FOR_REVIEW.zip	HTV29_RESULTS_FOR_REVIEW/10_MACHINE_READABLE_RESULTS.json	BBC numerical results	Slope closure and boundaries
EV-F011	FIRST	canonical_reference_packages/cross_season_bridge_evidence/HTV114_CORR1_RESULTS_FOR_REVIEW.zip	HTV114_CORR1_RESULTS_FOR_REVIEW/14_MACHINE_READABLE_RESULTS.json	H0DN first-season baseline	Baseline; rank; cutoff stability; covariance diagnostics
EV-F012	FIRST	canonical_reference_packages/cross_season_bridge_evidence/HTV114_CORR1_REVIEW_REPORT.md		HTV114 accepted reading	Fixed representation numerical stability and scope
EV-F013	FIRST	canonical_reference_packages/cross_season_bridge_evidence/HTV136_RESULTS_FOR_REVIEW_CORR1.zip	HTV136_RESULTS_FOR_REVIEW/01_GLOBAL_BRANCH_REGISTRY.tsv	Re-entry registry	GWTC; BBC; DESI; MCP; PV; lensed SN triggers
EV-F014	FIRST	canonical_reference_packages/TDCOSMO_ALTERNATE_IMPLEMENTATION_BRANCH_CLOSEOUT_PACKAGE.zip	TDCOSMO_ALTERNATE_IMPLEMENTATION_BRANCH_CLOSEOUT_PACKAGE/00_CLOSEOUT/BRANCH_CLOSEOUT_STATEMENT.md	TDCOSMO closeout	13/13; 39/39; 12/12 output traceability
EV-F015	FIRST	canonical_reference_packages/TDCOSMO_ALTERNATE_IMPLEMENTATION_BRANCH_CLOSEOUT_PACKAGE.zip	TDCOSMO_ALTERNATE_IMPLEMENTATION_BRANCH_CLOSEOUT_PACKAGE/00_CLOSEOUT/CLAIM_AND_SCOPE_BOUNDARY.md	TDCOSMO boundary	No likelihood; sampler; external replication; corrected H0
EV-S001	SECOND	01_SECOND_SEASON_SCIENTIFIC_SUMMARY_JA.md		Season scientific summary	Second-season branch synthesis
EV-S002	SECOND	02_BRANCH_STATUS_REGISTRY.tsv		Formal branch states	B01; B02; B03A; B03B
EV-S003	SECOND	03_CLAIM_AND_NONCLAIM_LEDGER.tsv		Formal top-level claims	B01-C01 through N-04
EV-S004	SECOND	04_KEY_NUMERICAL_RESULTS.tsv		Season key numbers	GWTC; H0DN; SN values
EV-S005	SECOND	06_CROSS_SEASON_COMPARISON_INTERFACE_JA.md		Comparison anchors	X01 through X05
EV-S006	SECOND	canonical_branch_masters/B01/GWTC45_STANDARD_SIREN_POSTERIOR_TRACEABILITY_MASTER_V1_0.zip	01_GWTC45_STANDARD_SIREN_POSTERIOR_TRACEABILITY_MASTER_V1_0/02_KEY_RESULTS/GATE_A_DECISION.md	GWTC headline output result	Gate A PASS and exact quantiles
EV-S007	SECOND	canonical_branch_masters/B01/GWTC45_STANDARD_SIREN_POSTERIOR_TRACEABILITY_MASTER_V1_0.zip	01_GWTC45_STANDARD_SIREN_POSTERIOR_TRACEABILITY_MASTER_V1_0/02_KEY_RESULTS/GATE_B_STATUS_CARRY_FORWARD.md	GWTC historical metric HOLD	Old-side posterior provenance not unique
