ARTIFACT_ID	RELATIVE_PATH	PACKAGE_RELATIVE_PATH	ARCHIVAL_SHA256	PACKAGE_SHA256	ARCHIVAL_BYTES	PACKAGE_BYTES	ORIGIN	CANONICALITY	ROLE	REDISTRIBUTION_CLASS	NOTES
A002	EVIDENCE_FREEZE/artifacts/act_robustness/HTS43_CANONICALIZATION_AUDIT.md	ANALYSIS_OUTPUTS/act_robustness/HTS43_CANONICALIZATION_AUDIT.md	e5ed15f9da979f05d35b530e9c3f0ce16c6c78895ef37cb660273900dd3a1924	e5ed15f9da979f05d35b530e9c3f0ce16c6c78895ef37cb660273900dd3a1924	961	961	HTS43	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	classification or method correction record	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A003	EVIDENCE_FREEZE/artifacts/act_robustness/HTS43_CHAIN_SOURCES.tsv	ANALYSIS_OUTPUTS/act_robustness/HTS43_CHAIN_SOURCES.tsv	88e241a8c203c3547c2c602b3b00a4cc72c126886e418c3bc41b7ba8b8f1ba05	88e241a8c203c3547c2c602b3b00a4cc72c126886e418c3bc41b7ba8b8f1ba05	1209	1209	HTS43	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	source/provenance locator	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A004	EVIDENCE_FREEZE/artifacts/act_robustness/HTS43_CORR1_LIMITED_CORRECTION_ORDER.md	ANALYSIS_OUTPUTS/act_robustness/HTS43_CORR1_LIMITED_CORRECTION_ORDER.md	60856272e5966b05679c02c93f036769d00e25f901f951b325fd6f5237a2b57c	60856272e5966b05679c02c93f036769d00e25f901f951b325fd6f5237a2b57c	937	937	HTS43	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	classification or method correction record	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A005	EVIDENCE_FREEZE/artifacts/act_robustness/HTS43_NUMERICAL_RESULTS.json	ANALYSIS_OUTPUTS/act_robustness/HTS43_NUMERICAL_RESULTS.json	0e0dc17a7567d39d417d1a613fcdd54c0e11ed822ee77b1038365884e29ea99e	0e0dc17a7567d39d417d1a613fcdd54c0e11ed822ee77b1038365884e29ea99e	4015	4015	HTS43	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A006	EVIDENCE_FREEZE/artifacts/act_robustness/HTS43_ROBUSTNESS_RESPONSE.tsv	ANALYSIS_OUTPUTS/act_robustness/HTS43_ROBUSTNESS_RESPONSE.tsv	da152cc4617d56034e95cf83c933c2f52088ad16f85687d1820341b261e9537d	da152cc4617d56034e95cf83c933c2f52088ad16f85687d1820341b261e9537d	5926	5926	HTS43	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A008	EVIDENCE_FREEZE/artifacts/bao_early_scale/HTS18_CONCLUSION_SUMMARY.tsv	ANALYSIS_OUTPUTS/bao_early_scale/HTS18_CONCLUSION_SUMMARY.tsv	8a87faa64b359fb4ae97e262ac8c1c8a049558f560f9dc36bd1ad900d2e45727	8a87faa64b359fb4ae97e262ac8c1c8a049558f560f9dc36bd1ad900d2e45727	702	702	HTS18	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A009	EVIDENCE_FREEZE/artifacts/bao_early_scale/HTS18_POSTERIOR_PRODUCT_SUMMARY.tsv	ANALYSIS_OUTPUTS/bao_early_scale/HTS18_POSTERIOR_PRODUCT_SUMMARY.tsv	d50da1bba248d8a61e5c383d50445400b7ef228ed680271ecc201aa32b5ba0ad	d50da1bba248d8a61e5c383d50445400b7ef228ed680271ecc201aa32b5ba0ad	677	677	HTS18	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A010	EVIDENCE_FREEZE/artifacts/bao_early_scale/HTS18_PROJECTED_GAUSSIAN_CONTRACT.tsv	ANALYSIS_OUTPUTS/bao_early_scale/HTS18_PROJECTED_GAUSSIAN_CONTRACT.tsv	832f148832428a03bdac5a39f198ebe9cd748bb54319b1b5cb8b5adba20371b5	832f148832428a03bdac5a39f198ebe9cd748bb54319b1b5cb8b5adba20371b5	528	528	HTS18	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A011	EVIDENCE_FREEZE/artifacts/bao_early_scale/HTS18_SOURCE_REGISTRY.tsv	ANALYSIS_OUTPUTS/bao_early_scale/HTS18_SOURCE_REGISTRY.tsv	423c028b54b863a9bf6b1b6098ec3aa817f171a9155c4aee59e7015c4dc609ea	423c028b54b863a9bf6b1b6098ec3aa817f171a9155c4aee59e7015c4dc609ea	530	530	HTS18	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	source/provenance locator	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A012	EVIDENCE_FREEZE/artifacts/bao_early_scale/HTV05_MACHINE_READABLE_RESULTS.json	ANALYSIS_OUTPUTS/bao_early_scale/HTV05_MACHINE_READABLE_RESULTS.json	7e41f66c1a9c63f90c39c08c4e9b4dd68af6abb036e624820b7c5c51c111dc97	7e41f66c1a9c63f90c39c08c4e9b4dd68af6abb036e624820b7c5c51c111dc97	4571	4571	HTV05	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A013	EVIDENCE_FREEZE/artifacts/bao_early_scale/HTV05_SOURCE_REGISTER.md	ANALYSIS_OUTPUTS/bao_early_scale/HTV05_SOURCE_REGISTER.md	5df0804e852476164ccc21f5e10fa8d80bfffe9b8b031d892d7f7babfea05d6b	5df0804e852476164ccc21f5e10fa8d80bfffe9b8b031d892d7f7babfea05d6b	1760	1760	HTV05	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	source/provenance locator	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
A015	EVIDENCE_FREEZE/artifacts/cmb_geometry/HTS19_CROSS_EXPERIMENT_AUTHORITY_ATLAS.tsv	ANALYSIS_OUTPUTS/cmb_geometry/HTS19_CROSS_EXPERIMENT_AUTHORITY_ATLAS.tsv	7b5255f90012d852fa53daa6bfe823204125f42c7521f44197bf47e379a72faf	7b5255f90012d852fa53daa6bfe823204125f42c7521f44197bf47e379a72faf	2631	2631	HTS19	CURRENT_CANONICAL_STAGE_OR_SYNTHESIS_ARTIFACT	portable evidence	PROJECT_DERIVED_OR_PROJECT_RECORD; THIRD_PARTY_RAW_BYTES_NOT_INCLUDED	hash computed during MANUSCRIPT_EVIDENCE_FREEZE_V1
