REPRODUCTION_ID	ANALYSIS	STATUS	PUBLIC_EVIDENCE_LOCATION	LIMITATION
R001	Integrated cross-domain synthesis	OUTPUT_TRACE_ONLY	ANALYSIS_OUTPUTS/integrated/	No raw-data-to-result pipeline reproduction claimed.
R002	Shared-host local-distance diagnostic	OUTPUT_TRACE_ONLY	ANALYSIS_OUTPUTS/local_ladder/	Archived machine-readable outputs; joint covariance unavailable.
R003	Pantheon+ calibration and BBC diagnostics	OUTPUT_TRACE_ONLY	ANALYSIS_OUTPUTS/supernova_processing/	Algebraic/output trace only; no BBC truth-closure execution.
R004	DESI DR2 BAO two-parameter Gaussian fit	REEXECUTABLE_WITH_EXTERNAL_FIXED_INPUTS	REPRODUCTION/desi_bao_gaussian_fit/	Exact mean/cov hashes fixed; third-party input bytes not redistributed.
R005	DESI internal response calculations	OUTPUT_TRACE_ONLY	ANALYSIS_OUTPUTS/desi_response/	Response outputs preserved; full source pipeline not packaged.
R006	CMB posterior geometry	OUTPUT_TRACE_ONLY	ANALYSIS_OUTPUTS/cmb_geometry/	Published moments and archived outputs; no full likelihood rerun.
R007	ACT robustness comparison	OUTPUT_TRACE_ONLY	ANALYSIS_OUTPUTS/act_robustness/	Archived chain-summary outputs; no public-package chain rerun.
R008	Posterior attribution analyses	REEXECUTABLE_WITH_FIXED_POSTERIOR_EXPORTS	REPRODUCTION/posterior_attribution/	two-layer project-internal replay; Phase2C official empty-cache run is the sole current acceptance lineage and passed 51/51 selected-member hashes (ORIGINAL via HTTP Range; FIXED full-archive SHA-256); full ORIGINAL archive hash not materialized and ETag mismatch retained as non-identity HTTP metadata; HTS59-HTS65 use hash-fixed posterior exports; HTS66 uses verified portable replicas of required historical intermediate inputs; eight designated Phase2C HTS67 substantive tables are byte-identical to the historical substantive reference while path/packaging records are outside that identity claim; earlier non-byte-identical comparison is preserved separately; original likelihoods and samplers not reconstructed
R009	Megamaser and Local Distance Network routes	OUTPUT_TRACE_ONLY	ANALYSIS_OUTPUTS/independent_routes/	Published/output-level comparisons; not a joint likelihood reproduction.
R010	Original TDCOSMO posterior-summary analysis	NOT_REEXECUTABLE_FROM_PUBLIC_PACKAGE	ANALYSIS_OUTPUTS/tdcosmo/original_results/	Third-party HDF5 bytes and original likelihood/sampler are not packaged.
R011	TDCOSMO V001 second implementation	PROJECT_INTERNAL_IMPLEMENTATION_DIVERSITY	POST_SYNTHESIS_VALIDATION/tdcosmo_second_implementation/	COMPLETE_WITH_SCOPE; released-sample summaries only; not external replication.
R012	CMB fixed-seed amplitude bootstrap	REEXECUTABLE_WITH_INCLUDED_FIXED_INPUTS	REPRODUCTION/cmb_fixed_seed_bootstrap/	begins from frozen Gaussian posterior moments; original CMB likelihoods and posterior generation not reconstructed
