case_id	case_name	F0_status	F1_status	F2_status	F3_status	F4_status	F5_status	F6_status	rationale	supporting_artifact	limitation
FS-LOCAL-LADDER-BBC	Local ladder / BBC downstream structure	PASS	PASS	PASS	NOT_TESTED	MIXED	HOLD	HOLD	Final-vector identity and downstream algebraic closure are recorded; truth-level execution and causal validity remain open.	evidence/first_season/local_ladder/RESULT_SUMMARY.tsv	No BBC overcorrection or unique cause.
FS-BAO-BBN	BAO-BBN early-scale bridge	MIXED	PASS	PASS	NOT_TESTED	HOLD	MIXED	HOLD	The frozen H0*r_d budget is traceable, but a matched early-model likelihood and generative closure were not supplied.	evidence/first_season/bao_bbn/RESULT_SUMMARY.tsv	Constraint budget only; not new physics.
FS-CMB-DESI	CMB-DESI descriptive geometry	MIXED	PASS	PASS	NOT_TESTED	HOLD	MIXED	HOLD	A near-common Gaussian-scope direction is mapped; joint covariance and causal origin are open.	evidence/first_season/cmb_desi/RESULT_SUMMARY.tsv	Common direction is not common cause.
FS-DESI-ATLAS	DESI same-vector response atlas	PASS	PASS	PASS	MIXED	NOT_TESTED	HOLD	HOLD	Predefined bases map a high-leverage response direction in one released vector; raw robustness products are absent.	evidence/first_season/desi_influence/RESULT_SUMMARY.tsv	Multiple bases are not independent observations.
FS-ACT-ROBUSTNESS	ACT public-chain variants	PASS	PASS	MIXED	MIXED	MIXED	MIXED	HOLD	Official variants are center-stable within a correlated-source scope; component likelihood and causal closure are incomplete.	evidence/first_season/act_robustness/RESULT_SUMMARY.tsv	Variant responses are not independent votes.
FS-RELEASE-GEOMETRY	Five-endpoint release geometry	PASS	PASS	MIXED	MIXED	NOT_TESTED	MIXED	HOLD	Invariant distance and block-level structure coexist with convention-sensitive attribution and pooling.	evidence/first_season/release_geometry/RESULT_SUMMARY.tsv	Same endpoints may not be counted repeatedly.
FS-TDCOSMO	TDCOSMO Table 6 output products	PASS	PASS	PASS	PASS	NOT_TESTED	HOLD	HOLD	Thirteen file identities, 39 quantiles, and 12 published-precision rows are traceable under the fixed output contract.	evidence/tdcosmo/FINAL_RESULT_SUMMARY.tsv	Not likelihood, sampler, or astrophysical-model reproduction.
SS-GWTC	GWTC-4/5 v1 posterior summaries	MIXED	PASS	PASS	PASS	NOT_TESTED	HOLD	HOLD	Headline posterior bytes and six quantiles pass; the old comparator for the historical 25.7 percent metric is non-unique.	evidence/gwtc/RESULTS_MACHINE_READABLE.json	Version-specific output traceability only.
SS-H0DN-SINGULAR	H0DN singular covariance and projected loss	PASS	PASS	PASS	FAIL	HOLD	MIXED	HOLD	The row representations are algebraically related, but the target changes for the rounded off-support vector under the tested non-orthogonal projected-loss transformation.	evidence/final_validation/MECHANISM_CONTROL_SUMMARY.tsv	No general on-support non-invariance or corrected H0.
SS-SN-COMPRESSION	H0DN SN 277-row scalar compression	PASS	PASS	MIXED	PASS	FAIL	HOLD	HOLD	The lossy compression preserves the frozen one-intercept target while discarding residual chi-square and pattern.	evidence/final_validation/exact_fixtures/SN_EQUAL_COMPRESSION_UNEQUAL_RESIDUAL_FIXTURE.json	Fixed-covariance one-intercept model only.
SS-SN-SAME-CID	H0DN SN same-name contrast diagnostics	PASS	PASS	NOT_TESTED	NOT_TESTED	MIXED	HOLD	HOLD	Mapping and contrast localization are robust within the frozen subspace; executed ancestry and cause remain open.	results/audit_summary.json	No row action or dependence claim.
FS-MCP-CF4	MCP-CF4 local-flow interface	MIXED	MIXED	NOT_TESTED	NOT_TESTED	HOLD	HOLD	HOLD	The route interface is mapped, but joint-flow covariance, samples, zero-point covariance, and likelihood are absent.	evidence/first_season/local_flow/RESULT_SUMMARY.tsv	Dependence cannot be invented.
FS-CROSS-ROUTE	Cross-route dependency synthesis	PASS	MIXED	NOT_TESTED	NOT_TESTED	MIXED	MIXED	HOLD	Shared assumptions and data are mapped well enough to prohibit naive averaging; no joint generative closure follows.	evidence/first_season/cross_route/RESULT_SUMMARY.tsv	Not a combined H0 inference.
