branch_id	series_or_stages	domain	canonical_or_last_recorded_status	canonical_source	provisional_integrated_state	evidence_scope	source_and_provenance	independence_strength	unresolved_question	restart_condition	auto_execute
HTS_AUTHORITY_ONTOLOGY_BASELINE	HTS01-05	GOVERNANCE	CANONICAL_RETAINED_WITH_SCOPE	HT_PROJECT_ARCHIVE_AUDIT_2026-07-24.md	ACTIVE_BASELINE_NOT_SCIENTIFIC_RESULT	Authority; namespace; source/evidence schema; quantity and route ontology	Frozen project artifacts summarized by archive audit	NOT_APPLICABLE	Whether later stages consistently obey the authority and dependency vocabulary	Formal change-control only	NO
LOCAL_LADDER_STRUCTURAL_AUDIT	HTV02-31; HTV105	LOCAL_SN	MIXED_ACCEPTED_WITH_SCOPE_AND_FROZEN_OPEN	HTV00_101_INDEPENDENT_CURRENT_STATE_RECONSTRUCTION.md	STRUCTURAL_LOCALIZATION_CONFIRMED_CAUSAL_CLOSURE_HOLD	Single zero point; single SN; gray calibration; survey mix not sufficient; BBC term localization	Public vectors and reconstructed prior HTV artifacts	MODERATE_WITHIN_SHARED_LADDER	BBC correction validity under known truth	Truth-level Biascor; aligned truth/fitted and pre/post vectors; matched covariance	NO
BAO_BBN_EARLY_SCALE_BRIDGE	HTV05-18; HTS06-18	BAO_BBN_EARLY_SCALE	PASS_WITH_SCOPE_COHORT	HTV00_101_INDEPENDENT_CURRENT_STATE_RECONSTRUCTION.md; HT_PROJECT_ARCHIVE_AUDIT_2026-07-24.md	RETAINED_CONSTRAINT_BUDGET_NOT_NEW_PHYSICS	BAO constrains H0*r_d; local H0 requires about 6.8 percent r_d reduction under recorded contract	Public BAO/BBN/CMB authority products	MODERATE_ACROSS_SHARED_STANDARD_SCALE	Can a matched early model satisfy CMB; BBN; LSS; DESI simultaneously	Frozen matched model index; likelihood; release; priors; posterior and profile outputs	NO
CMB_DESI_COMMON_DIRECTION	HTV32; HTV48-50; HTV99-103; HTS19-25	CMB_DESI	CONFIRMED_WITH_GAUSSIAN_SCOPE	HTV00_101_INDEPENDENT_CURRENT_STATE_RECONSTRUCTION.md	STRONG_DESCRIPTIVE_GEOMETRY_CAUSAL_ORIGIN_OPEN	Planck; SPT; ACT move from DESI along a nearly common Omega_m-h*r_d direction	Frozen Gaussian moments; public CMB/DESI products	MODERATE; shared DESI reference and CMB priors	Projection geometry versus common physical/systematic origin	Joint simulations; cross-CMB covariance; full posterior; direction uncertainty	NO
DESI_MODE_INFLUENCE_ATLAS	HTV33-34; HTV71-98; HTS26-34	DESI	CLOSED_WITH_SCOPE	HTV00_101_INDEPENDENT_CURRENT_STATE_RECONSTRUCTION.md	RETAINED_RESPONSE_ATLAS_NO_FURTHER_MODE_PEELING	MIDZ_COMMON_ISO leading CMB-opposing lever; LRG1_DM counter-anchor; no third dominant mode	Same released DESI vector under multiple predeclared bases	LOW_AS_INDEPENDENT_EVIDENCE; HIGH_AS_INTERNAL_MAPPING	Physical cause of the high-leverage mode	Do not reopen from same vector; require new aligned robustness or release product	NO
DESI_RAW_ROBUSTNESS	DESI_MIDZ_COMMON_ISO_RAW_ROBUSTNESS	CMB_DESI	FROZEN_OPEN	HTV136 01_GLOBAL_BRANCH_REGISTRY.tsv	HOLD_EXTERNAL_PRODUCT_MISSING	Pipeline/reconstruction/fiducial/weight/mock response not closed	Required public machine-readable variants and covariance absent	HIGH_POTENTIAL_IF_TRIGGERED	Does MIDZ common isotropic response survive pipeline/release variations	Aligned variant vectors plus joint/cross-fit covariance or official release contract	NO
ACT_PUBLIC_CHAIN_ROBUSTNESS	HTV55-70; HTV102-104; HTS35-43_CORR1	CMB_ACT	PASS_ACT_DR6_OFFICIAL_INTERNAL_ROBUSTNESS_CENTER_STABILITY_WITH_CORRELATED_RESPONSE_BOUNDARY	HTS43_CORR1 HTS43_EXECUTION_REPORT.md	TESTED_PUBLIC_VARIANTS_CLOSED_AS_DOMINANT_EXPLANATION	TT/TE/EE; frequency; array; calibration; tau; representation; three official robustness variants	Official ACT DR6 chains with recorded hashes	MODERATE_WITHIN_SOURCE; LOW_BETWEEN_VARIANTS	Whether untested data-level likelihood components can explain center	Require genuinely new independent product or exact component likelihood; no more same-chain slicing	NO
ACT_NATIVE_FULL_CHAIN_HTV136_ROW	ACT_NATIVE_FULL_CHAIN_DECOMPOSITION	CMB_ACT	FROZEN_OPEN_IN_HTV136	HTV136 01_GLOBAL_BRANCH_REGISTRY.tsv	STATUS_CROSSWALK_REQUIRED_LIKELY_PARTLY_OR_LARGELY_SUBSUMED	Original trigger requested NPIPE-reweighted chain or native covariance with Omega_m; H0; r_drag; q	Later HTS35-43 used official native chains with direct required parameters	NOT_NEWLY_INDEPENDENT_FROM_ACT_COHORT	Does later HTS source contract exactly satisfy the earlier HTV trigger	Source-level crosswalk only; do not rerun until mismatch is demonstrated	NO
RELEASE_6D_ATTRIBUTION	HTS51-66	CMB_RELEASE_GEOMETRY	PASS_ATTRIBUTION_INVARIANT_CORE_SYNTHESIS_AND_BRANCH_CLOSEOUT	HTS66_CLASSIFICATION.tsv	CLOSED_WITH_SCOPE_SAME_ENDPOINT_DECOMPOSITION_EXHAUSTED	Invariant distances and fixed block totals retained; variable/mode/coalition attribution convention-dependent	Same five release endpoints across HTS59-65	LOW_AS_MULTIPLE_INDEPENDENT_EVIDENCE	No open internal decomposition question under the same endpoints	Externally justified physical parameterization; exact component posterior edge; or independent data	NO
HTS67_SYMMETRIC_POOLING	HTS67	CMB_RELEASE_GEOMETRY	HOLD_SYMMETRIC_POOLING_CONVENTION_SENSITIVITY	HTS67_CLASSIFICATION.tsv	CANONICAL_HOLD_OPERATIONALLY_CLOSED_WITH_EXTERNAL_REENTRY_ONLY	Pooling differences 0.2900 and 0.3801; classification agreement 4/7	Five frozen endpoint roots; HTS62 and HTS66_CORR source archives	MODERATE_ROBUSTNESS_TEST; SAME_ENDPOINTS	Is there an externally justified common metric or likelihood decomposition	External metric; joint likelihood; component-separated posterior	NO
