mechanism_or_layer	primary_stages	measured_scale	evidence_type	status	endpoint_capacity	remaining_boundary
Global SN magnitude offset	HTV13	Global +0.04 mag leaves diagonal-only Omega_m invariant to 3e-8	MECHANISM_INVARIANCE_TEST	RESOLVED_WITH_SCOPE	Cannot alter unanchored SN shape cosmology by itself	Does not cover redshift-dependent or anchored effects
SN redshift-dependent shape updates	HTV13-15	Synthetic z tilt shifts Omega_m by -0.019; high-z step by -0.051; DES update path net -0.022	CATALOGUE_UPDATE_LINEAGE	ACTIVE_BUT_NOT_SINGLE_CAUSE	Can move cosmology-shape results but not isolated as local-H0 cause	Final update bundle lacks aligned intermediate vectors
Independent absolute-scale routes	HTV16-17	Lensing 72.1 +4.0/-3.7; masers 73.9±3.0; GW 69.9 +4.1/-4.0	INDEPENDENT_ROUTE_LEDGER	NO_PRESENT_ADJUDICATION	No route distinguishes early/local references above 2 sigma	Precision and route-specific nuisance limitations
High-precision independence structure	HTV17-18	3 observational channels collapse to 2 absolute-calibration complexes	DEPENDENCY_GRAPH	RESOLVED	Low-H0 core survives removal of CMB anisotropy but not standard r_d	No standard-r_d-independent high-precision low-H0 channel
Shared-host stellar distance rung	HTV19	TRGB-Cepheid weighted mean +0.04166 mag; host-only mapping H0≈72.09	DIRECT_SHARED_HOST_COMPARISON	PARTIAL_CONTRIBUTOR	Does not reproduce full SH0ES-CCHP endpoint difference	Joint covariance, additional anchors, SN transfer layer
Calibrator-SN sample expansion	HTV20-21	Published expansion shifts H0 by +0.87 to +1.98 km/s/Mpc depending on compilation	ALTERNATIVE_ANALYSIS_MOVEMENT	ACTIVE	Material local central-value movement but compilation-dependent	Full covariance and common Hubble-flow refit
SN 2007af influence	HTV21	Dropping object changes TRGB H0 by about -0.15; Cepheid-weighted impact about -1.02	OBJECT_INFLUENCE_TEST	WEIGHT_DEPENDENT_NOT_SOLE_CAUSE	Cannot explain expanded-sample movement alone	Heterogeneous distance weights and covariance
SuperCal-to-Pantheon+ standardization	HTV22-23	Same-SN residual mean +0.037 mag; H0-equivalent 1.28 km/s/Mpc; individual range 0.30 mag	COMMON_OBJECT_DIFFERENCE	OBJECT_DEPENDENT_BUNDLED	Rejects pure global offset and membership-only explanations	Object vector/covariance and H0 transfer are unavailable
Common gray calibration	HTV24	Exact common-mode cancellation; illustrative survey-gray RMS 0.11-0.13 km/s/Mpc	ALGEBRAIC_CANCELLATION_AND_SENSITIVITY	COMMON_MODE_RESOLVED	Common gray mode cannot explain endpoint	Filter, wavelength, color and training modes
Filter/wavelength/SALT2 calibration modes	HTV25	Evaluated SN-calibration H0 uncertainty <0.2 km/s/Mpc	PUBLISHED_COVARIANCE_SCALE	ACTIVE_BUT_EVALUATED_SUBDOMINANT	Reported scale is <4.1% of HTV25 endpoint gap	No public filter-level H0 derivative
Hubble-flow redshift and peculiar velocity	HTV26	Raised cuts move diagnostic <0.7 km/s/Mpc; flow correction about +0.4 to +0.6; PV method 0.06-0.11	PUBLIC_VECTOR_PLUS_PUBLISHED_PIPELINE	REAL_BUT_SUBDOMINANT	Cannot explain historical local-early gap	Full covariance cut significance
Survey mix versus within-survey redshift	HTV27-28	Within-survey component 72.6-78.7%; fixed-effect slope -0.129 a_B/z	EXACT_DECOMPOSITION_AND_FIXED_EFFECT_DIAGNOSTIC	RESIDUAL_LOCALIZED	Not evidence for physical H0 evolution	Selection, bias correction, population and covariance
Explicit BBC bias correction	HTV29	Corrected slope -0.129; partial bias-removed proxy +0.0037; explicit bias contribution -0.133 a_B/z	DIRECT_ALGEBRAIC_TERM_DECOMPOSITION	PRIMARY_DIRECT_SOURCE_OF_RESIDUAL	Identifies downstream term, not correction validity	Self-consistent simulation truth closure
BBC simulation validation	HTV30	10 data-like realizations; Dust2Dust sigma_H0=0.145 km/s/Mpc	ARCHITECTURE_AND_PUBLISHED_UNCERTAINTY	TRUTH_LEVEL_CLOSURE_BLOCKED	No validity or overcorrection adjudication	Approx. 2 GB nominal Biascor products plus aligned truth/fitted vectors
