item_id	missing_or_ambiguous_item	effect_on_gate	permitted_action
M01	Approximately 2 GB BiasCor simulation files, public URL/record/version/bytes/checksum	Prevents unique truth-level closure input identity or mapping	HOLD; do not infer, substitute, or reconstruct
M02	Exact nominal REALDATABS20NOM simulation family, realization, and seed	Prevents unique truth-level closure input identity or mapping	HOLD; do not infer, substitute, or reconstruct
M03	BiasCor truth matched one-to-one to fitted output	Prevents unique truth-level closure input identity or mapping	HOLD; do not infer, substitute, or reconstruct
M04	BBC pre-correction and post-correction vector for the public simulations	Prevents unique truth-level closure input identity or mapping	HOLD; do not infer, substitute, or reconstruct
M05	Event ID/order/selection-mask manifest for pre/post vectors	Prevents unique truth-level closure input identity or mapping	HOLD; do not infer, substitute, or reconstruct
M06	Statistical and systematic covariance for the same simulated closure vector	Prevents unique truth-level closure input identity or mapping	HOLD; do not infer, substitute, or reconstruct
M07	File-level mapping between public SIM_000n and survey-specific photometry fragments	Prevents unique truth-level closure input identity or mapping	HOLD; do not infer, substitute, or reconstruct
M08	Run manifest resolving PIPPIN external paths	Prevents unique truth-level closure input identity or mapping	HOLD; do not infer, substitute, or reconstruct
M09	Complete PIPPIN/SNANA/SALT2/BBC version and commit combination	Prevents unique truth-level closure input identity or mapping	HOLD; do not infer, substitute, or reconstruct
M10	Generation commands, run logs, cuts, failed-fit treatment	Prevents unique truth-level closure input identity or mapping	HOLD; do not infer, substitute, or reconstruct
M11	Official release tag or preserved record with checksum manifest	Prevents unique truth-level closure input identity or mapping	HOLD; do not infer, substitute, or reconstruct
