record_file	referenced_path	status	note
reproduction/second_season/gwtc/canonical_gate_a/SHA256SUMS.txt	02_KEY_RESULTS/GATE_A_AUDIT_TABLES.xlsx	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/second_season/gwtc/canonical_gate_a/SHA256SUMS.txt	03_ARCHIVE_PACKAGES/GWTC45_GATE_A_HEADLINE_QUANTILE_REPRODUCTION_RESULTS_FOR_REVIEW.zip	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/second_season/gwtc/canonical_gate_a/SHA256SUMS.txt	03_ARCHIVE_PACKAGES/GWTC45_H0_METRIC_PROVENANCE_SOURCE_FREEZE_V1.zip	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/second_season/gwtc/canonical_gate_a/SHA256SUMS.txt	03_ARCHIVE_PACKAGES/GWTC45_H0_METRIC_PROVENANCE_SOURCE_FREEZE_V1_CORR1.zip	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/second_season/gwtc/canonical_gate_a/03_ARCHIVE_PACKAGES/GWTC45_GATE_A_HEADLINE_QUANTILE_REPRODUCTION_RESULTS_FOR_REVIEW.zip.sha256	GWTC45_GATE_A_HEADLINE_QUANTILE_REPRODUCTION_RESULTS_FOR_REVIEW.zip	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/second_season/gwtc/canonical_gate_a/03_ARCHIVE_PACKAGES/GWTC45_H0_METRIC_PROVENANCE_SOURCE_FREEZE_V1.zip.MASTER_GENERATED.sha256	GWTC45_H0_METRIC_PROVENANCE_SOURCE_FREEZE_V1.zip	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/second_season/gwtc/canonical_gate_a/03_ARCHIVE_PACKAGES/GWTC45_H0_METRIC_PROVENANCE_SOURCE_FREEZE_V1_CORR1.zip.sha256	GWTC45_H0_METRIC_PROVENANCE_SOURCE_FREEZE_V1_CORR1.zip	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/CANONICAL_STATE_THROUGH_HTS58.md	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS58_CANONICALIZATION_AUDIT.md	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_AUDIT_STDERR.txt	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_AUDIT_STDOUT.txt	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_BURNIN_SENSITIVITY.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_CHAIN_SUPPORT.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_CLASSIFICATION.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_DIRECTED_6D_DECOMPOSITION.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_DIRECTED_LOO_STABILITY.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_ENDPOINT_6D_CONDITIONING.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_EXECUTION_CONTRACT.md	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_EXECUTION_REPORT.md	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_INDEPENDENT_AUDIT_CHECKS.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_INDEPENDENT_AUDIT_RESULT.md	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_LIKELIHOOD_MEMBERSHIP.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_ORIGINAL_ROOT_INVENTORY.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_PREFLIGHT_RESULT.md	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_PREFLIGHT_TEST_AUDIT.md	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_RAW_IMPLEMENTATION_DIAGNOSTICS.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_RELEASE_ENDPOINT_CONTRACT_CHECKS.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_SELECTED_MEMBER_PROVENANCE.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_SELECTION_AUDIT.md	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_SEMANTIC_DATA_FAMILY_MEMBERSHIP.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_SOURCE_ADEQUACY_AUDIT.md	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/HTS59_SOURCE_FREEZE.tsv	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/MANIFEST.json	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/README_RUN.md	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW/SHA256SUMS.txt	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW.zip	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
reproduction/first_season/capsules/posterior_attribution/fresh_replay_records/E002_SHA256SUMS.txt	HTS59_RESULTS_FOR_REVIEW.zip.sha256	NOT_INCLUDED_IN_COMPACT_TREE	Historical checksum reference retained for provenance; referenced source-package/transport member is not part of the compact repository.
