source	target	relation	edge_class
Local anchors and supernovae	Calibration and BBC processing	distance and standardization	interface
Calibration and BBC processing	Algebraic decomposition and validation requirements	released vector	assessment
DESI BAO	Sound horizon and late-time model	distance ratios	interface
Sound horizon and late-time model	BAO fit and conditional scale comparison	model-conditional fit	assessment
CMB spectra	Optical depth, calibration, and cosmology	external interfaces	interface
Optical depth, calibration, and cosmology	Posterior-center geometry	posterior summaries	assessment
Other distance methods	Velocity fields, populations, and lens models	method-specific inference	interface
Velocity fields, populations, and lens models	Shared-dependency assessment	heterogeneous likelihoods	assessment
TDCOSMO public samples	Repository version and paper version	public exports	interface
Repository version and paper version	Sample-summary traceability	post-hoc reconstruction	assessment
Algebraic decomposition and validation requirements	Traced or re-executed descriptive structure	evidence retained	result
BAO fit and conditional scale comparison	Traced or re-executed descriptive structure	evidence retained	result
Posterior-center geometry	Traced or re-executed descriptive structure	evidence retained	result
Shared-dependency assessment	Limited by unavailable joint information	missing joint dependencies	result
Sample-summary traceability	Project-internal implementation diversity	three-file pilot and unchanged-code 13-file extension	result
Traced or re-executed descriptive structure	Limit of causal interpretation	no automatic upgrade	boundary
Limited by unavailable joint information	Limit of causal interpretation	no automatic upgrade	boundary
Project-internal implementation diversity	Limit of causal interpretation	no automatic upgrade to external validation or causality	boundary
Limit of causal interpretation	No unique cause, correction, or resolution	claim boundary	conclusion
