issue_id	type	severity	affected_records	observation	evidence	canonical_effect	required_action
I001	REGISTRY_SCOPE	MEDIUM	HTV136_GLOBAL_BRANCH_REGISTRY	Named GLOBAL registry is a current actionable candidate ledger; not an exhaustive historical branch index	HTV136_REVIEW_REPORT.md	NONE; scope clarification	Retain explicit CURRENT_ACTIONABLE_CANDIDATE_REGISTRY label
I002	STATUS_DRIFT	HIGH	TDCOSMO_EXACT_CHAIN_DEPENDENCY_RECONSTRUCTION	HTV136 FROZEN_OPEN trigger later became true and was executed as HTS68	HTV136 registry; HTS68 selection audit	NONE_IN_THIS_AUDIT; integrated status differs	Add non-destructive transition crosswalk from HTV136 row to HTS68/CORR1/CORR2
I003	STATUS_DRIFT	HIGH	ACT_NATIVE_FULL_CHAIN_DECOMPOSITION	Later HTS35-43 used official native chains with direct Omega_m; H0; r_drag; h*r_drag, so BLOCKED_EXTERNAL_CHAIN may be stale; exact NPIPE contract equivalence not proven	HTV136 registry; HTS43 chain/source/parameter records	NONE; status review required	Perform source-contract crosswalk only before any further ACT execution
I004	SPEC_CODE_MISMATCH	HIGH_FOR_FUTURE_REUSE	HTV136 selection engine	Specification defines FROZEN_OPEN and READY_WITH_FROZEN_INPUTS; code additionally requires automatic_execution true	HTV136_SELECTION_SPEC.json; audit_htv136.py	NONE_CURRENTLY; ready count remains zero	Remove extra predicate or freeze its meaning before reuse
I005	TEMPORAL_ENDPOINT_RECORD	LOW	HT_PROJECT_ARCHIVE_AUDIT_2026-07-24	Archive audit endpoint HTS42 predates later HTS43-68 artifacts	Archive audit JSON; later result packages	NONE	Treat as time-stamped record; do not cite as current endpoint
I006	SUPERSEDED_CLASSIFICATION	HIGH	HTS43 original HOLD	Original HOLD was caused by invalid count predicate for nonexistent non-chain products; CORR1 numerical values unchanged and PASS	HTS43_CORR1_CANONICALIZATION_AUDIT.md	HTS43 CORR1 supersedes original classification	Use CORR1 classification; retain original HOLD as history
I007	FORMAL_VS_OPERATIONAL_STATE	HIGH	HTS67	Canonical result is HOLD and branch_decision says do not close metric question; project-level continuation with arbitrary metrics is scientifically unjustified	HTS67_CLASSIFICATION.tsv; HTS67 selection; HTS68 review	NONE	Record canonical HOLD plus operational external-reentry-only closure
I008	SUPERSEDED_CLASSIFICATION_AND_CLAIM	HIGH	HTS68 original	Original classification and wording exceeded contract/evidence scope	HTS68 original report/script; CORR1 report/classification	CORR1 already changes canonical evidential wording	Always cite CORR1 classification and post-hoc analysis mode
I009	SOURCE_FREEZE_DEFECT	HIGH	HTS68 original	Remote; commit; PDF hash were recorded but not all compared to expected constants; paper version absent	Original script and source-freeze TSV; CORR1/CORR2	NONE_TO_HISTORICAL_NUMBERS; future run HOLD	Use CORR2 G0/G1; resolve paper version before source read
I010	INDEPENDENCE_GAP	HIGH	HTS68	Same script/copy is not alternate implementation; independent recomputation NOT_DONE	CORR1 report; CORR2 contract	NONE; evidence strength limited	Separate implementation and external audit under prefrozen tolerances
I011	CLAIM_GATE_MISMATCH	HIGH	HTS68 SLACS/SL2S	SLACS-associated shift comparison was outside formal PASS gate; original localization/control-like wording unsafe	CORR1 report/classification	CORR1 supersedes wording	Use descriptive sentence only; note non-additive interaction; no precision-control conclusion
I012	REPEATED_SOURCE	LOW_AS_NEW_EVIDENCE	HTS59-67	Same five release endpoints were repeatedly decomposed by coordinate; mode; coalition; partition; metric	Canonical state through HTS66; HTS66/67 selection	NONE	Do not count stages as independent probes or continue arbitrary decomposition
I013	REPEATED_OBSERVABLE	LOW_AS_NEW_EVIDENCE	HTV71-98 DESI	Multiple bases and neutralizations map one released BAO vector	HTV00-101 reconstruction	NONE	Keep response atlas; no new mode peeling without new source
I014	SHARED_DATA_DEPENDENCY	MEDIUM	ACT robustness stages	Variants share ACT data; likelihood and model components; some tau/calibration information	HTS35-43 summaries and scope records	NONE	No independent-significance aggregation or single-cause attribution
I015	CROSS_BRANCH_SOURCE_OVERLAP	MEDIUM	HTS68 auxiliary layers; local-SN; DESI	Pantheon+ and DESI are reused across nominal branches	HTS68 chain layer records; HTV/HTS branch records	NONE	Mark shared-source edges in any synthesis
I016	CROSS_BRANCH_SOURCE_OVERLAP	MEDIUM	H0DN O1/O2 and MCP	Orthogonal data paths may share flow; redshift; and cosmographic assumptions	HTV next-selection and closeout records	NONE	Require explicit covariance/dependency contract before combination
I017	PORTABILITY	MEDIUM	HTS67 source freeze	Exact hashes are recorded but paths are machine-specific and full raw cache bytes are not in the review bundle	HTS67_SOURCE_FREEZE.tsv; CACHE_ROOT_SELECTION.tsv	NONE_TO_RECORDED_RESULT	Use HTS_CHAIN_CACHE_STORE and verify exact hashes before any rerun
I018	ARCHIVE_COMPLETENESS	LOW	HTV106_A; HTV135/136; HTS04	One result ZIP body absent; STATIC_VALIDATION copies missing; historical fixture/external references missing	Archive audit JSON	NONE_FOUND_TO_SCIENCE; present hash mismatch zero	Preserve as visible archive defects; do not infer full archival completeness
I019	PLANNING_RECORD_SUPERSESSION	LOW	POST_HTS68_NEXT_BRANCH_SELECTION_AUDIT	Plan audit recorded CORR2 unavailable; user later supplied byte-verified CORR2	Plan audit; supplied CORR2 package	NONE	Update only integrated planning fact: CORR2 now available, execution still HOLD
I020	REFERENCE_METHOD	MEDIUM	HTS68 Table 6	Reference values were manually embedded; original calculation used equal-weight numpy.quantile, not weighted quantile	Original script; CORR1 reference TSV	NONE_TO_RETAINED_NUMBERS; wording correction	Keep reference TSV separate and hash-frozen; do not claim PDF extraction
