claim_id	claim	status	evidence	scope
C01	The fixed FULL unique-SN sky design is identifiable for the preregistered monopole-plus-dipole statistic.	SUPPORTED	HTV124	238 unique SNe; fixed public coordinates and absolute GLS weights
C02	The public CMB-versus-2M++ corrected-redshift contract difference has angular coherence under the frozen survey-by-redshift permutation null.	SUPPORTED_WITH_SCOPE	HTV125 p=4.9999500005e-05; HTV126 additional p=4.1999958e-05	conditional on the frozen null, data membership, weights, coordinates, and public contract
C03	The primary numerical result is computationally reproducible.	SUPPORTED	HTV126 independent statistic implementation and retained 1,000,000-statistic sequence	computational replication, not independent observational replication
C04	The angular result survives a stricter exact-survey/local-redshift pair-swap robustness design.	SUPPORTED_WITH_SCOPE	HTV128 p=0.002307997692	93 pairs; 52 unmatched outcomes fixed; conditional exchangeability only
C05	The numerical significance is materially sensitive to null conditioning.	SUPPORTED	HTV126 approximately 4.2e-05 versus HTV128 0.002308	does not erase the structure; limits a single universal p-value narrative
C06	The first-order released corrected-velocity response is the dominant mathematical carrier.	SUPPORTED_WITHIN_FROZEN_DECOMPOSITION	HTV130 signed attribution=0.976493997796	mathematical carrier is not astrophysical cause
C07	Nonlinear logarithmic and representation-residual terms are not primary autonomous carriers.	SUPPORTED_DESCRIPTIVELY	HTV130 B=0.00492717, C=0.0185788	non-orthogonal algebraic decomposition
C08	Negative and positive released-correction subsets are both material to the first-order carrier.	SUPPORTED_WITHIN_FROZEN_DECOMPOSITION	HTV132 NEG=0.643990356037; POS=0.356009643963; interaction=0.40163122545	sign classes are algebraic partitions, not physical inflow/outflow populations
C09	On the fitted A axis, aligned sign-lobe cells carry positive attribution and crossed cells oppose it.	SUPPORTED_AS_POST_RESULT_LOCALIZATION	HTV134 NEG_LNEG=0.839035128382; NEG_LPOS=-0.195044772345; POS_LNEG=-0.0490921020624; POS_LPOS=0.405101746025	fitted-axis circularity; no independent anisotropy evidence
C10	The fitted A-axis negative lobe carries most of the component-A attribution.	SUPPORTED_AS_POST_RESULT_LOCALIZATION	HTV134 LNEG=0.78994302632	post-result axis and same outcome
C11	The detected structure is a physical bulk flow.	NOT_ESTABLISHED	No phase performs an independent physical velocity-field inference	prohibited claim
C12	The released 2M++ flow reconstruction is erroneous.	NOT_IDENTIFIED	A public-contract difference is localized, but reconstruction truth is not measured	requires external reconstruction uncertainty or alternative field
C13	One public redshift contract is preferred over the other.	NOT_ESTABLISHED	No external truth criterion or predictive comparison	contract comparison only
C14	The lobe analysis supplies independent anisotropy evidence.	NOT_SUPPORTED	HTV133-HTV134 use the fitted component-A axis	post-result descriptive localization only
C15	The result has independent observational replication.	NOT_ESTABLISHED	All phases use the same underlying public SN compilation and contract fields	computational and null-design robustness are not observational replication
C16	A corrected H0 is produced or the Hubble tension is resolved.	NO	Explicitly prohibited throughout HTV124-HTV134	no H0 recalculation
