SOURCE_ID	FORMAL_NAME	IDENTIFIER	HISTORICAL_OR_USED_VERSION	CURRENT_METADATA_CHECK	ROLE	LOCAL_ARTIFACT_HASH	ACQUISITION	PROCESSING	LICENSE_OR_TERMS	CITATION_STATUS	VERSION_STATUS	LIMITATION
S001	SH0ES local distance ladder	arXiv:2112.04510; DOI 10.3847/2041-8213/ac5c5b	v3	v3 as checked 2026-07-25	shared-host Cepheid distances and ladder context	see HTV19 source register and claim artifacts	paper/table transcription in prior stage	host-level diagonal diagnostic	citation only; paper bytes not redistributed	RESOLVED	FIXED	joint covariance not refit
S002	CCHP JWST TRGB host-distance analysis	arXiv:2503.11769; DOI 10.3847/1538-4357/ae29eb	v1	v1 as checked 2026-07-25	ten shared JWST TRGB hosts	see HTV19 claim artifacts	published table transcription in prior stage	host comparison	citation only; paper bytes not redistributed	RESOLVED	FIXED	common zero point and joint covariance excluded
S003	CCHP status report	arXiv:2408.06153; DOI 10.3847/1538-4357/adce78	v3	v3 as checked 2026-07-25	current CCHP endpoint context	see HTV19 source register	paper metadata	context only	citation only	RESOLVED	FIXED	title history retained in source record
S004	Pantheon+ calibration analysis	arXiv:2112.03864; DOI 10.3847/1538-4357/ac8bcc	v2	v2 as checked 2026-07-25	controlled calibration/SALT2 table	see HTV23 artifacts	published table transcription	algebraic comparison	citation only	RESOLVED	FIXED	no SALT2 retraining performed here
S005	Pantheon+ cosmological constraints	arXiv:2202.04077; ApJ 938, 110 (2022); DOI 10.3847/1538-4357/ac8e04	v2	v2 as checked 2026-07-25	BBC sign convention and likelihood boundary	see HTV29/30 source registers	paper and release documentation	public-vector decomposition	citation only	RESOLVED	FIXED	The public-vector decomposition does not adjudicate BBC correction validity.
S006	PantheonPlusSH0ES DataRelease	official GitHub repository	commit not recorded	not re-fetched for V1	public SN vectors and simulation architecture	derived project tables only	prior-stage repository access	derived slopes and availability audit	LICENSE_CONFIRMATION_REQUIRED for redistribution; raw bytes omitted	PARTIAL	UNRESOLVED	commit and release tag not frozen
S007	DESI DR2 BAO and cosmological constraints	arXiv:2503.14738; Phys. Rev. D 112, 083515 (2025); DOI 10.1103/tr6y-kpc6	v3	v3; Phys. Rev. D 112, 083515 (2025)	BAO definitions and release context	derived HTV05 JSON only	paper plus official mean/covariance via prior stage	two-parameter Gaussian fit	citation only; raw release bytes omitted	RESOLVED	FIXED	paper version fixed; data repository commit separate
S008	Cobaya bao_data DESI DR2 mean/covariance	CobayaSampler/bao_data/desi_bao_dr2	commit not recorded	not re-fetched for V1	13-element BAO Gaussian vector	mean=9ac154ab583ce759c0f7eef3c978c7c70a6ead2d18774caceadf1a350a640585; covariance=252a143274c8a07c78694c119617d36594f6d7965d00319ca611c6ffb886e509	prior-stage repository copy	Gaussian fit	LICENSE_CONFIRMATION_REQUIRED; raw bytes omitted	PARTIAL	PARTIAL_HASH_FIXED_COMMIT_UNRESOLVED	hashes fixed but repository commit missing
S009	Planck 2018 results VI	arXiv:1807.06209; DOI 10.1051/0004-6361/201833910	v4; PR3/PR4 context varies by stage	v4 as checked 2026-07-25	CMB endpoint and acoustic invariant summaries	derived endpoint tables only	published summaries and prior chain contracts	projected Gaussian and endpoint geometry	citation only; chains omitted	RESOLVED	PARTIAL_STAGE_SPECIFIC_RELEASE_MIX	HTS18 did not rematerialize full official chain covariance
S010	ACT DR6 power spectra and public chains	arXiv:2503.14452; DOI 10.1088/1475-7516/2025/11/062; NASA LAMBDA DR6.02	paper v2; chain release DR6.02	checked 2026-07-25	CMB endpoints and three robustness posteriors	baseline archive a4d1ee088401868edd82062abdfc7f3da4b568f1c161dff4bb196dc88bf5e0c5	prior-stage official chain download	posterior centers and response diagnostics	LICENSE_CONFIRMATION_REQUIRED for raw chains; chains omitted	RESOLVED	FIXED_WITH_VARIANT_HASHES_IN_STAGE_ARTIFACT	variants share ACT data and implementation
S011	SPT-3G D1 primary CMB analysis	arXiv:2506.20707	v2 corrected endpoint	v2 as checked 2026-07-25	ground-based CMB endpoint	derived endpoint tables only	paper/release in prior stage	Gaussian endpoint geometry	citation only; raw products omitted	RESOLVED	FIXED	historical original and corrected release must remain distinct
S012	MCP XIII combined Hubble-constant constraints	arXiv:2001.09213; DOI 10.3847/2041-8213/ab75f0	v2	v2 as checked 2026-07-25	six-galaxy and leave-one-out contracts	derived jackknife tables only	published table transcription	descriptive influence audit	citation only	RESOLVED	FIXED	no MCP likelihood rerun
